WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
692,Marsh Harbour,BS,26.5412,-77.0636,83.1,70,26,1.59,scattered clouds
693,Sumenep,ID,-7.0167,113.8667,81.05,75,99,2.89,overcast clouds
694,Mahibadhoo,MV,3.7833,72.9667,82.26,76,100,18.16,overcast clouds
695,Haines Junction,CA,60.7522,-137.5108,55.35,44,63,6.91,broken clouds
696,Amuntai,ID,-2.4177,115.2494,72.46,92,83,0.83,broken clouds
697,Magadan,RU,59.5667,150.8,31.75,58,72,6.87,broken clouds
698,Batagay-Alyta,RU,67.8006,130.4114,6.89,88,82,4.63,broken clouds
699,Domoni,KM,-12.2569,44.5319,73.76,81,4,6.04,clear sky
700,Vyshestebliyevskaya,RU,45.1961,37.0181,64.81,83,100,10.69,overcast clouds
701,Palatka,US,29.6486,-81.6376,87.04,40,0,1.99,clear sky
702,Tautira,PF,-17.7333,-149.15,76.93,72,2,7.85,clear sky
703,Salinas,US,36.6777,-121.6555,68.83,73,9,8.81,clear sky
704,Tongliao,CN,43.6125,122.2653,55.22,93,87,8.21,overcast clouds
705,Kieta,PG,-6.2167,155.6333,80.35,77,25,1.48,scattered clouds
706,Kristiansand,NO,58.1467,7.9956,51.82,84,0,2.3,clear sky
707,Alihe,CN,50.5667,123.7167,40.19,96,100,2.04,overcast clouds
708,Sembe,CG,1.6481,14.5806,71.38,98,91,2.89,overcast clouds
709,Bagan,RU,54.1001,77.6646,31.77,77,8,5.06,clear sky
710,Tondano,ID,1.3038,124.9112,69.89,84,96,1.48,overcast clouds
711,Umm Lajj,SA,25.0213,37.2685,86.2,47,0,4.47,clear sky
712,Turayf,SA,31.6725,38.6637,71.85,35,0,9.22,clear sky
713,Agua Verde,MX,22.9,-106.05,85.08,72,97,9.24,overcast clouds
714,Monrovia,LR,6.3005,-10.7969,76.77,90,100,8.72,moderate rain
