WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Bhalki,IN,18.0333,77.2167,70.66,82,100,8.43,overcast clouds
190,Vao,NC,-22.6667,167.4833,69.22,65,3,15.64,clear sky
191,Pangnirtung,CA,66.1451,-65.7125,35.08,55,100,8.77,light snow
192,Gamba,GA,-2.65,10.0,75.79,82,100,6.73,overcast clouds
193,Petropavlovka,RU,50.6114,105.3196,30.34,45,100,0.58,overcast clouds
194,Alice Springs,AU,-23.7,133.8833,76.55,65,40,8.05,scattered clouds
195,Sitka,US,57.0531,-135.33,55.29,71,0,4.61,clear sky
196,Baruun-Urt,MN,46.6806,113.2792,29.71,38,0,9.95,clear sky
197,Paamiut,GL,61.994,-49.6678,36.72,69,12,10.0,few clouds
198,Hirara,JP,24.8,125.2833,86.27,70,20,5.75,few clouds
199,Pimentel,PE,-6.8367,-79.9342,62.46,85,50,15.14,scattered clouds
200,Codrington,AU,-38.2667,141.9667,57.13,74,100,14.36,light rain
201,Wasilla,US,61.5814,-149.4394,54.95,59,100,14.97,overcast clouds
202,Port Hueneme,US,34.1478,-119.1951,80.51,72,0,11.5,clear sky
203,Sao Simao,BR,-21.4792,-47.5508,66.65,95,9,2.15,clear sky
204,Ariquemes,BR,-9.9133,-63.0408,73.08,85,100,1.1,heavy intensity rain
205,Zhezkazgan,KZ,47.8043,67.7144,30.18,51,0,11.18,clear sky
206,Faya,SA,18.3851,42.4509,62.71,35,1,5.41,clear sky
207,Estacion Coahuila,MX,32.1939,-115.0017,95.95,26,0,8.05,clear sky
208,Muli,MV,2.9167,73.5667,81.27,78,100,17.74,moderate rain
209,Zapolyarnyy,RU,69.4154,30.8136,31.28,89,100,1.63,overcast clouds
210,Along,IN,28.1667,94.7667,71.94,99,100,0.27,overcast clouds
211,Bredasdorp,ZA,-34.5322,20.0403,50.36,89,0,6.53,clear sky
212,Tuatapere,NZ,-46.1333,167.6833,48.34,84,100,10.47,overcast clouds
213,Carnarvon,AU,-24.8667,113.6333,71.37,40,0,6.11,clear sky
214,Tabou,CI,4.423,-7.3528,75.74,91,100,4.99,overcast clouds
215,Trairi,BR,-3.2778,-39.2689,77.68,78,67,11.25,broken clouds
216,Cooma,AU,-36.2333,149.1333,62.58,46,99,0.34,overcast clouds
217,Yuli,NG,9.6989,10.2744,71.67,88,100,3.42,light rain
218,Los Llanos De Aridane,ES,28.6585,-17.9182,75.13,52,40,6.91,scattered clouds
219,Mortka,RU,59.3322,66.0214,47.64,96,100,8.34,light rain
220,Seoul,KR,37.5683,126.9778,69.19,79,75,10.36,broken clouds
221,Kruisfontein,ZA,-34.0033,24.7314,54.88,84,20,9.24,few clouds
222,Kaitangata,NZ,-46.2817,169.8464,58.24,48,67,13.8,broken clouds
223,Verkhoyansk,RU,67.5447,133.385,23.95,89,87,3.18,overcast clouds
224,Hibbing,US,47.4272,-92.9377,62.2,72,0,0.0,clear sky
225,Rorvik,NO,64.8621,11.2373,51.91,93,100,5.75,overcast clouds
226,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,66,0,2.3,clear sky
227,Hauterive,FR,46.0901,3.4459,45.36,96,15,2.33,few clouds
228,Aripuana,BR,-9.1667,-60.6333,71.49,98,83,0.36,broken clouds
229,Belyy,RU,55.8402,32.9419,39.06,97,100,10.69,overcast clouds
230,Labuhan,ID,-6.8844,112.2051,82.06,71,98,11.32,overcast clouds
231,Hobyo,SO,5.3505,48.5268,76.1,88,73,19.69,broken clouds
